id,比赛时间,必发交易量,更新时间差_小时,必发更新时间
"2334738	2025-01-11 22:00:00	313327	2334738	1	2025-01-11 20:51:25",,,,
"2334738	2025-01-11 22:00:00	220198	2334738	2	2025-01-11 19:20:14",,,,
"2334738	2025-01-11 22:00:00	282754	2334738	2	2025-01-11 19:51:33",,,,
"2334738	2025-01-11 22:00:00	169737	2334738	3	2025-01-11 18:20:12",,,,
"2334738	2025-01-11 22:00:00	178147	2334738	3	2025-01-11 18:51:36",,,,
"2334738	2025-01-11 22:00:00	158975	2334738	4	2025-01-11 17:20:12",,,,
"2334738	2025-01-11 22:00:00	166760	2334738	4	2025-01-11 17:50:12",,,,
"2334738	2025-01-11 22:00:00	142870	2334738	5	2025-01-11 16:20:12",,,,
"2334738	2025-01-11 22:00:00	148221	2334738	5	2025-01-11 16:51:13",,,,
"2334738	2025-01-11 22:00:00	140081	2334738	6	2025-01-11 15:20:12",,,,
"2334738	2025-01-11 22:00:00	141566	2334738	6	2025-01-11 15:50:12",,,,
"2334738	2025-01-11 22:00:00	138047	2334738	7	2025-01-11 14:20:11",,,,
"2334738	2025-01-11 22:00:00	139706	2334738	7	2025-01-11 14:51:10",,,,
"2334738	2025-01-11 22:00:00	135186	2334738	8	2025-01-11 13:20:13",,,,
"2334738	2025-01-11 22:00:00	137077	2334738	8	2025-01-11 13:50:11",,,,
"2334738	2025-01-11 22:00:00	134687	2334738	9	2025-01-11 12:20:11",,,,
"2334738	2025-01-11 22:00:00	135053	2334738	9	2025-01-11 12:51:22",,,,
"2334738	2025-01-11 22:00:00	134285	2334738	10	2025-01-11 11:20:11",,,,
"2334738	2025-01-11 22:00:00	134497	2334738	10	2025-01-11 11:51:18",,,,
"2334738	2025-01-11 22:00:00	124264	2334738	11	2025-01-11 10:20:10",,,,
"2334738	2025-01-11 22:00:00	132709	2334738	11	2025-01-11 10:50:10",,,,
"2334738	2025-01-11 22:00:00	112065	2334738	12	2025-01-11 09:20:10",,,,
"2334738	2025-01-11 22:00:00	123609	2334738	12	2025-01-11 09:51:08",,,,
"2334733	2025-01-11 23:00:00	295180	2334733	0	2025-01-11 22:20:17",,,,
"2334733	2025-01-11 23:00:00	460749	2334733	0	2025-01-11 22:51:12",,,,
"2334733	2025-01-11 23:00:00	255438	2334733	1	2025-01-11 21:20:16",,,,
"2334733	2025-01-11 23:00:00	281153	2334733	1	2025-01-11 21:51:22",,,,
"2334733	2025-01-11 23:00:00	210864	2334733	2	2025-01-11 20:20:14",,,,
"2334733	2025-01-11 23:00:00	233027	2334733	2	2025-01-11 20:51:26",,,,
"2334733	2025-01-11 23:00:00	172879	2334733	3	2025-01-11 19:20:15",,,,
"2334733	2025-01-11 23:00:00	188482	2334733	3	2025-01-11 19:51:34",,,,
"2334733	2025-01-11 23:00:00	144862	2334733	4	2025-01-11 18:20:13",,,,
"2334733	2025-01-11 23:00:00	148435	2334733	4	2025-01-11 18:51:37",,,,
"2334733	2025-01-11 23:00:00	123815	2334733	5	2025-01-11 17:20:13",,,,
"2334733	2025-01-11 23:00:00	128071	2334733	5	2025-01-11 17:50:13",,,,
"2334733	2025-01-11 23:00:00	113490	2334733	6	2025-01-11 16:20:13",,,,
"2334733	2025-01-11 23:00:00	120566	2334733	6	2025-01-11 16:51:14",,,,
"2334733	2025-01-11 23:00:00	110950	2334733	7	2025-01-11 15:20:13",,,,
"2334733	2025-01-11 23:00:00	112572	2334733	7	2025-01-11 15:50:13",,,,
"2334733	2025-01-11 23:00:00	105786	2334733	8	2025-01-11 14:20:12",,,,
"2334733	2025-01-11 23:00:00	110163	2334733	8	2025-01-11 14:51:10",,,,
"2334733	2025-01-11 23:00:00	103942	2334733	9	2025-01-11 13:20:14",,,,
"2334733	2025-01-11 23:00:00	104182	2334733	9	2025-01-11 13:50:12",,,,
"2334733	2025-01-11 23:00:00	103885	2334733	10	2025-01-11 12:20:12",,,,
"2334733	2025-01-11 23:00:00	103894	2334733	10	2025-01-11 12:51:23",,,,
"2334733	2025-01-11 23:00:00	103885	2334733	11	2025-01-11 11:51:19",,,,
"2334732	2025-01-11 23:00:00	288147	2334732	0	2025-01-11 22:20:17",,,,
"2334732	2025-01-11 23:00:00	1019412	2334732	0	2025-01-11 22:51:12",,,,
"2334732	2025-01-11 23:00:00	261391	2334732	1	2025-01-11 21:20:16",,,,
"2334732	2025-01-11 23:00:00	270664	2334732	1	2025-01-11 21:51:22",,,,
"2334732	2025-01-11 23:00:00	159677	2334732	2	2025-01-11 20:20:14",,,,
"2334732	2025-01-11 23:00:00	223631	2334732	2	2025-01-11 20:51:26",,,,
"2334732	2025-01-11 23:00:00	123463	2334732	3	2025-01-11 19:20:16",,,,
"2334732	2025-01-11 23:00:00	142229	2334732	3	2025-01-11 19:51:35",,,,
"2334732	2025-01-11 23:00:00	108148	2334732	4	2025-01-11 18:20:13",,,,
"2334732	2025-01-11 23:00:00	113993	2334732	4	2025-01-11 18:51:38",,,,
"2334732	2025-01-11 23:00:00	100817	2334732	5	2025-01-11 17:20:13",,,,
"2334732	2025-01-11 23:00:00	102445	2334732	5	2025-01-11 17:50:13",,,,
"2334732	2025-01-11 23:00:00	95271	2334732	6	2025-01-11 16:20:13",,,,
"2334732	2025-01-11 23:00:00	98799	2334732	6	2025-01-11 16:51:14",,,,
"2334732	2025-01-11 23:00:00	94263	2334732	7	2025-01-11 15:20:13",,,,
"2334732	2025-01-11 23:00:00	94834	2334732	7	2025-01-11 15:50:13",,,,
"2334732	2025-01-11 23:00:00	92527	2334732	8	2025-01-11 14:20:12",,,,
"2334732	2025-01-11 23:00:00	92527	2334732	8	2025-01-11 14:51:11",,,,
"2334732	2025-01-11 23:00:00	90635	2334732	9	2025-01-11 13:20:14",,,,
"2334732	2025-01-11 23:00:00	92004	2334732	9	2025-01-11 13:50:12",,,,
"2334732	2025-01-11 23:00:00	90152	2334732	10	2025-01-11 12:20:12",,,,
"2334732	2025-01-11 23:00:00	90616	2334732	10	2025-01-11 12:51:23",,,,
"2334732	2025-01-11 23:00:00	89400	2334732	11	2025-01-11 11:20:12",,,,
"2334732	2025-01-11 23:00:00	90152	2334732	11	2025-01-11 11:51:19",,,,
"2334732	2025-01-11 23:00:00	87950	2334732	12	2025-01-11 10:20:11",,,,
"2334732	2025-01-11 23:00:00	88437	2334732	12	2025-01-11 10:50:11",,,,
"2334732	2025-01-11 23:00:00	87534	2334732	13	2025-01-11 09:20:10",,,,
"2334732	2025-01-11 23:00:00	87950	2334732	13	2025-01-11 09:51:09",,,,
"2334730	2025-01-11 20:00:00	163072	2334730	0	2025-01-11 19:20:14",,,,
"2334730	2025-01-11 20:00:00	851681	2334730	0	2025-01-11 19:51:33",,,,
"2334730	2025-01-11 20:00:00	126098	2334730	1	2025-01-11 18:20:12",,,,
"2334730	2025-01-11 20:00:00	136989	2334730	1	2025-01-11 18:51:36",,,,
"2334730	2025-01-11 20:00:00	104827	2334730	2	2025-01-11 17:20:11",,,,
"2334730	2025-01-11 20:00:00	113927	2334730	2	2025-01-11 17:50:12",,,,
"2334730	2025-01-11 20:00:00	88490	2334730	3	2025-01-11 16:20:11",,,,
"2334730	2025-01-11 20:00:00	93405	2334730	3	2025-01-11 16:51:13",,,,
"2334730	2025-01-11 20:00:00	81363	2334730	4	2025-01-11 15:20:12",,,,
"2334730	2025-01-11 20:00:00	82020	2334730	4	2025-01-11 15:50:12",,,,
"2334730	2025-01-11 20:00:00	79205	2334730	5	2025-01-11 14:20:11",,,,
"2334730	2025-01-11 20:00:00	80125	2334730	5	2025-01-11 14:51:09",,,,
"2334730	2025-01-11 20:00:00	75132	2334730	6	2025-01-11 13:20:13",,,,
"2334730	2025-01-11 20:00:00	75776	2334730	6	2025-01-11 13:50:11",,,,
"2334730	2025-01-11 20:00:00	65613	2334730	7	2025-01-11 12:20:11",,,,
"2334730	2025-01-11 20:00:00	66448	2334730	7	2025-01-11 12:51:21",,,,
"2334730	2025-01-11 20:00:00	63819	2334730	8	2025-01-11 11:20:11",,,,
"2334730	2025-01-11 20:00:00	64507	2334730	8	2025-01-11 11:51:18",,,,
"2334730	2025-01-11 20:00:00	58691	2334730	9	2025-01-11 10:20:10",,,,
"2334730	2025-01-11 20:00:00	63551	2334730	9	2025-01-11 10:50:10",,,,
