12	2066189	2023-08-10 08:00:00	4	解放者杯	32	\N	3005	1	1.34	1.28-1.66	4.70	7.40	1.34	1.28-1.66	4.85	7.80	2	0-3	2	0-3	5	3-7	2	0-3	2	0-3	4	3-7	4	3-7	4	3-7	9	7-13	5	3-7	5	3-7	0	0-3	9	9-15	2	2	1	1	1	3	0	1	1	0.00	0.15	0.40	-0.001-0.001	0.06-0.17	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
13	2066187	2023-08-10 08:00:00	4	解放者杯	32	\N	3006	1	1.60	1.28-1.66	3.60	5.10	1.60	1.28-1.66	3.60	5.60	1	0-3	2	0-3	1	0-3	2	0-3	1	0-3	4	3-7	3	3-7	3	3-7	5	3-7	2	0-3	2	0-3	0	0-3	5	4-9	2	2	1	1	1	3	0	0	1	0.00	0.00	0.50	-0.001-0.001	-0.001-0.001	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
14	2306230	2024-10-24 08:30:00	4	解放者杯	32	\N	3009	3	1.38	1.28-1.66	4.25	8.20	1.35	1.28-1.66	4.35	9.10	4	3-7	4	3-7	5	3-7	4	3-7	4	3-7	7	7-13	8	7-13	8	7-13	12	7-13	6	3-7	6	3-7	2	0-3	14	9-15	2	2	1	1	1	3	-1	1	1	-0.03	0.10	0.90	-0.06--0.001	0.06-0.17	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
15	2306229	2024-10-23 08:30:00	4	解放者杯	32	\N	2005	3	2.25	1.66-2.3	3.05	3.25	2.49	2.3-3.2	2.71	3.25	4	3-7	23	13+	10	7-13	8	7-13	10	7-13	11	7-13	12	7-13	33	13+	21	13+	26	13+	5	3-7	17	13+	38	15+	3	1	2	1	3	2	1	-1	0	0.24	-0.34	0.00	0.17-0.29	负无穷--0.16	-0.001-0.001	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
16	2256571	2024-08-14 06:00:00	4	解放者杯	32	\N	2011	3	2.07	1.66-2.3	3.10	3.40	2.17	1.66-2.3	2.87	3.70	8	7-13	16	13+	15	13+	16	13+	8	7-13	15	13+	24	13+	24	13+	30	13+	12	7-13	12	7-13	6	3-7	36	15+	2	2	1	1	1	3	1	-1	1	0.10	-0.23	0.30	0.06-0.17	负无穷--0.16	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
17	1992069	2023-06-29 06:00:00	4	解放者杯	32	\N	3007	3	1.44	1.28-1.66	4.15	6.80	1.40	1.28-1.66	4.30	7.40	6	3-7	3	3-7	5	3-7	4	3-7	5	3-7	7	7-13	10	7-13	8	7-13	12	7-13	2	0-3	4	3-7	0	0-3	12	9-15	2	3	1	2	1	3	-1	1	1	-0.04	0.15	0.60	-0.06--0.001	0.06-0.17	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
18	2306232	2024-10-30 08:30:00	4	解放者杯	32	\N	2005	1	1.59	1.28-1.66	3.80	5.30	1.59	1.28-1.66	3.70	5.60	9	7-13	7	7-13	6	3-7	5	3-7	8	7-13	12	7-13	14	13+	15	13+	18	13+	7	7-13	6	3-7	3	3-7	21	15+	3	2	1	1	2	3	0	-1	1	0.00	-0.10	0.30	-0.001-0.001	-0.16--0.06	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
19	2309183	2024-12-01 04:00:00	4	解放者杯	32	\N	6038	0	3.15	2.3-3.2	3.05	2.11	3.70	3.2+	2.92	2.14	4	3-7	10	7-13	3	3-7	4	3-7	5	3-7	6	3-7	8	7-13	15	13+	9	7-13	11	7-13	4	3-7	10	7-13	19	15+	3	1	2	1	3	2	1	-1	1	0.55	-0.13	0.03	0.29+	-0.16--0.06	0.001-0.06	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
20	2256573	2024-08-21 06:00:00	4	解放者杯	32	\N	2003	3	2.19	1.66-2.3	2.96	3.50	2.12	1.66-2.3	2.99	3.65	6	3-7	7	7-13	8	7-13	6	3-7	7	7-13	9	7-13	12	7-13	14	13+	17	13+	10	7-13	8	7-13	5	3-7	22	15+	3	2	1	1	2	3	-1	1	1	-0.07	0.03	0.15	-0.16--0.06	0.001-0.06	0.06-0.17	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
21	2189312	2024-04-04 08:30:00	4	解放者杯	32	\N	3011	1	2.65	2.3-3.2	3.00	2.71	2.47	2.3-3.2	2.99	2.94	19	13+	6	3-7	15	13+	16	13+	6	3-7	20	13+	35	13+	12	7-13	35	13+	2	0-3	25	13+	2	0-3	37	15+	1	3	1	2	1	2	-1	-1	1	-0.18	-0.01	0.23	负无穷--0.16	-0.06--0.001	0.17-0.29	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
22	2189314	2024-04-12 08:00:00	4	解放者杯	32	\N	4008	3	1.13	0-1.28	7.30	18.00	1.14	0-1.28	7.20	16.00	0	0-3	7	7-13	5	3-7	1	0-3	5	3-7	3	3-7	1	0-3	12	7-13	8	7-13	12	7-13	1	0-3	5	3-7	13	9-15	3	1	2	1	3	2	1	-1	-1	0.01	-0.10	-2.00	0.001-0.06	-0.16--0.06	负无穷--0.16	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
23	2189317	2024-05-10 06:00:00	4	解放者杯	32	\N	4005	0	6.30	3.2+	4.05	1.48	7.10	3.2+	3.85	1.47	9	7-13	10	7-13	9	7-13	15	13+	8	7-13	8	7-13	24	13+	18	13+	17	13+	6	3-7	12	7-13	13	13+	30	15+	1	2	3	3	2	1	1	-1	-1	0.80	-0.20	-0.01	0.29+	负无穷--0.16	-0.06--0.001	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
24	2189319	2024-05-10 06:00:00	4	解放者杯	32	\N	4004	3	2.11	1.66-2.3	3.10	3.50	2.14	1.66-2.3	3.05	3.50	1	0-3	2	0-3	4	3-7	2	0-3	2	0-3	5	3-7	3	3-7	4	3-7	9	7-13	8	7-13	7	7-13	2	0-3	11	9-15	3	2	1	1	2	3	1	-1	0	0.03	-0.05	0.00	0.001-0.06	-0.06--0.001	-0.001-0.001	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
