2189325	2024-04-11 06:00:00	4	3	1.41	4.15	6.70	1.46	4.05	6.90	5	6	5	6	5	7	11	11	12	6	6	5	17	2	2	1	1	1	3	1	-1	1	0.05	-0.10	0.20
2189326	2024-05-31 06:00:00	4	3	1.19	5.90	11.00	1.23	5.80	10.00	5	6	6	7	7	5	12	13	11	10	9	11	22	2	1	3	2	3	1	1	-1	-1	0.04	-0.10	-1.00
1992110	2023-06-30 06:00:00	4	1	1.54	3.65	4.90	1.43	4.05	7.40	10	11	15	11	13	14	21	24	29	9	6	1	30	3	2	1	1	2	3	-1	1	1	-0.11	0.40	2.50
2189329	2024-05-08 06:00:00	4	0	3.30	3.10	2.21	3.15	2.94	2.36	4	8	1	4	3	5	8	11	6	5	2	7	13	2	1	3	2	3	1	-1	-1	1	-0.15	-0.16	0.15
1992108	2023-06-30 06:00:00	4	3	1.24	5.00	8.50	1.37	4.45	7.70	20	23	28	24	19	22	44	42	50	12	14	6	56	2	3	1	2	1	3	1	-1	-1	0.13	-0.55	-0.80
2189333	2024-05-29 06:00:00	4	3	2.03	3.20	3.35	2.04	3.20	3.65	7	2	5	8	2	6	15	4	11	3	14	7	18	1	3	2	3	1	2	1	0	1	0.01	0.00	0.30
1992107	2023-06-07 08:00:00	4	3	1.60	3.50	5.90	1.60	3.60	5.60	11	6	12	8	8	14	19	14	26	10	15	3	29	2	3	1	2	1	3	0	1	-1	0.00	0.10	-0.30
2093734	2023-09-28 08:30:00	4	1	1.79	3.30	4.60	1.85	3.10	4.55	0	4	2	2	0	4	2	4	6	5	3	1	7	3	2	1	1	2	3	1	-1	-1	0.06	-0.20	-0.05
1992100	2023-06-29 08:30:00	4	3	1.71	3.65	4.55	1.64	3.80	4.85	8	8	9	9	7	7	17	15	16	3	5	4	20	1	3	2	3	1	2	-1	1	1	-0.07	0.15	0.30
1992098	2023-06-08 06:00:00	4	3	1.31	5.10	8.20	1.27	5.20	10.00	6	4	3	3	4	7	9	8	10	6	7	5	15	2	3	1	2	1	3	-1	1	1	-0.04	0.10	1.80
1992099	2023-06-29 08:30:00	4	3	1.71	3.80	4.30	1.70	3.75	4.45	5	3	4	3	3	6	8	6	10	3	5	1	11	2	3	1	2	1	3	-1	-1	1	-0.01	-0.05	0.15
2189343	2024-05-15 08:30:00	4	3	1.36	4.50	7.80	1.36	4.65	7.50	4	4	7	4	6	7	8	10	14	8	6	2	16	3	2	1	1	2	3	0	1	-1	0.00	0.15	-0.30
2189342	2024-05-08 08:00:00	4	1	3.40	3.35	2.06	3.55	3.40	1.98	5	3	13	10	4	4	15	7	17	9	17	7	24	2	3	1	2	1	3	1	1	-1	0.15	0.05	-0.08
2189283	2024-06-09 06:00:00	4	1	1.64	3.50	4.50	1.61	3.65	5.40	2	1	3	1	4	3	3	5	6	4	2	1	7	3	2	1	1	2	3	-1	1	1	-0.03	0.15	0.90
2189282	2024-06-05 08:00:00	4	0	3.75	3.25	1.97	3.05	3.20	2.29	18	10	8	9	9	18	27	19	26	11	19	12	38	1	3	2	3	1	2	-1	-1	1	-0.70	-0.05	0.32
2189285	2024-05-30 06:00:00	4	3	1.21	5.70	13.00	1.23	5.50	12.00	1	5	2	4	2	2	5	7	4	2	0	3	7	2	1	3	2	3	1	1	-1	-1	0.02	-0.20	-1.00
2189292	2024-04-25 06:00:00	4	3	1.39	4.45	7.30	1.38	4.45	7.70	3	4	4	3	2	6	6	6	10	4	4	0	10	2	2	1	1	1	3	-1	0	1	-0.01	0.00	0.40
2288495	2024-09-19 06:00:00	4	3	2.18	2.97	3.05	2.47	2.79	3.15	6	20	8	11	12	9	17	32	17	19	4	19	36	2	1	2	1	3	1	1	-1	1	0.29	-0.18	0.10
2189294	2024-05-09 08:30:00	4	3	1.59	3.90	5.20	1.59	3.90	5.10	6	4	4	4	5	6	10	9	10	1	2	1	11	1	3	1	2	1	2	0	0	-1	0.00	0.00	-0.10
2288493	2024-09-19 08:30:00	4	1	1.78	3.35	4.60	1.84	3.15	4.55	7	9	15	6	5	20	13	14	35	26	25	4	39	3	2	1	1	2	3	1	-1	-1	0.06	-0.20	-0.05
2189297	2024-05-29 06:00:00	4	3	1.43	4.30	6.80	1.45	4.25	6.50	2	4	7	5	4	5	7	8	12	6	5	1	13	3	2	1	1	2	3	1	-1	-1	0.02	-0.05	-0.30
2288498	2024-09-26 08:30:00	4	1	2.58	2.95	2.83	2.67	2.92	2.75	8	3	8	8	2	7	16	5	15	2	13	3	18	1	3	2	3	1	2	1	-1	-1	0.09	-0.03	-0.08
2288499	2024-09-26 06:00:00	4	3	1.80	3.40	4.35	1.77	3.35	4.60	8	4	5	5	4	11	13	8	16	3	8	0	16	2	3	1	2	1	3	-1	-1	1	-0.03	-0.05	0.25
2189298	2024-05-29 06:00:00	4	1	2.67	3.10	2.48	2.75	3.20	2.48	4	1	4	6	2	5	10	3	9	0	7	1	10	1	3	2	3	1	2	1	1	0	0.08	0.10	0.00
2189301	2024-04-11 08:30:00	4	3	1.11	7.90	17.00	1.14	7.00	16.00	3	15	10	6	8	7	9	23	17	17	3	9	26	3	1	2	1	3	2	1	-1	-1	0.03	-0.90	-1.00
2189305	2024-05-08 08:00:00	4	3	5.70	3.85	1.54	6.80	4.10	1.45	4	3	3	4	5	4	8	8	7	1	1	2	9	1	1	3	2	2	1	1	1	-1	1.10	0.25	-0.09
2189308	2024-05-16 08:30:00	4	3	1.14	7.00	17.00	1.14	7.20	17.00	4	7	5	5	6	4	9	13	9	5	1	5	14	2	1	2	1	3	1	0	1	0	0.00	0.20	0.00
2189311	2024-05-29 08:00:00	4	3	1.12	7.90	15.00	1.12	7.80	18.00	2	4	3	2	6	4	4	10	7	8	2	5	12	3	1	2	1	3	2	0	-1	1	0.00	-0.10	3.00
1992129	2023-06-09 08:00:00	4	3	2.09	3.25	3.40	2.12	3.25	3.35	2	2	2	3	3	2	5	5	4	4	4	5	9	1	1	3	2	2	1	1	0	-1	0.03	0.00	-0.05
1992060	2023-06-29 08:30:00	4	3	1.13	7.90	16.00	1.12	8.10	17.00	3	4	3	3	5	5	6	9	8	4	1	2	10	3	1	2	1	3	2	-1	1	1	-0.01	0.20	1.00
2256576	2024-08-14 08:30:00	4	1	3.05	2.86	2.49	2.91	2.82	2.62	5	4	0	2	3	3	7	7	3	3	3	7	10	1	1	3	2	2	1	-1	-1	1	-0.14	-0.04	0.13
2256577	2024-08-21 08:30:00	4	3	1.57	3.55	6.30	1.57	3.60	6.20	9	13	15	9	11	18	18	24	33	20	14	5	38	3	2	1	1	2	3	0	1	-1	0.00	0.05	-0.10
1992058	2023-06-29 08:30:00	4	3	1.34	4.70	8.00	1.45	4.30	6.50	7	12	12	12	7	8	19	19	20	3	3	2	22	2	2	1	1	1	3	1	-1	-1	0.11	-0.40	-1.50
2256582	2024-08-15 08:30:00	4	0	2.85	3.15	2.44	2.89	3.10	2.44	7	5	1	7	4	2	14	9	3	0	5	11	14	1	2	3	3	2	1	1	-1	0	0.04	-0.05	0.00
1992059	2023-06-09 08:00:00	4	3	1.39	4.40	7.80	1.36	4.60	7.70	14	10	18	10	16	20	24	26	38	17	15	3	41	3	2	1	1	2	3	-1	1	-1	-0.03	0.20	-0.10
2256583	2024-08-22 08:30:00	4	3	1.55	3.65	6.10	1.57	3.60	6.00	4	5	9	5	4	6	9	9	15	9	9	3	18	2	2	1	1	1	3	1	-1	-1	0.02	-0.05	-0.10
2256580	2024-08-15 08:30:00	4	3	2.47	3.05	2.88	2.42	3.00	2.99	2	3	5	1	1	11	3	4	16	13	12	0	16	3	2	1	1	2	3	-1	-1	1	-0.05	-0.05	0.11
2256581	2024-08-22 08:30:00	4	1	1.77	3.40	4.50	1.72	3.55	4.65	5	4	10	3	7	9	8	11	19	12	9	1	20	3	2	1	1	2	3	-1	1	1	-0.05	0.15	0.15
2256586	2024-08-23 06:00:00	4	3	1.60	3.55	5.80	1.72	3.30	5.10	5	5	9	8	3	8	13	8	17	4	9	0	17	2	3	1	2	1	3	1	-1	-1	0.12	-0.25	-0.70
2256587	2024-08-16 08:30:00	4	3	1.10	8.70	17.00	1.14	7.50	15.00	8	21	16	11	17	16	19	38	32	25	6	12	44	3	1	2	1	3	2	1	-1	-1	0.04	-1.20	-2.00
2256584	2024-08-16 06:00:00	4	1	2.95	2.96	2.36	2.49	2.84	3.05	26	12	15	17	12	28	43	24	43	4	23	4	47	1	3	1	2	1	2	-1	-1	1	-0.46	-0.12	0.69
2189261	2024-05-30 08:30:00	4	3	1.45	4.40	6.10	1.45	4.35	6.30	3	4	5	4	4	5	7	8	10	4	3	1	11	3	2	1	1	2	3	0	-1	1	0.00	-0.05	0.20
2081010	2023-08-24 08:30:00	4	1	1.99	3.10	3.90	1.99	3.10	3.95	5	6	6	5	5	9	10	11	15	5	4	0	15	3	2	1	1	2	3	0	0	1	0.00	0.00	0.05
2256588	2024-08-23 08:30:00	4	3	1.85	3.70	3.70	1.95	3.45	3.60	14	12	15	12	8	17	26	20	32	13	19	7	39	2	3	1	2	1	3	1	-1	-1	0.10	-0.25	-0.10
2189262	2024-05-30 08:30:00	4	1	2.06	3.20	3.55	2.16	3.20	3.30	3	1	4	4	2	3	7	3	7	0	4	0	7	1	3	1	2	1	2	1	0	-1	0.10	0.00	-0.25
2081005	2023-08-25 08:30:00	4	3	1.38	4.50	7.50	1.39	4.35	7.60	4	6	5	5	5	6	9	11	11	4	2	2	13	3	1	1	1	2	2	1	-1	1	0.01	-0.15	0.10
